R,G,B,Drought_AmbientTemp,Drought_ObjectTemp
43,115,72,26.71,25.41
41,112,73,26.71,25.37
38,110,72,26.71,25.41
36,109,67,26.71,25.37
37,108,66,26.71,25.41
35,105,67,26.71,25.37
31,105,63,26.71,25.41
33,104,61,26.71,25.37
31,103,62,26.71,25.41
30,99,58,26.71,25.37
29,98,60,26.71,25.41
90,125,79,26.71,25.37
90,125,77,26.71,25.41
87,125,78,26.71,25.37
86,122,81,26.71,25.41
84,122,80,26.71,25.37
82,120,79,26.71,25.41
78,121,77,26.71,25.37
74,124,75,26.71,25.41
73,122,68,26.71,25.37
71,119,66,26.71,25.41
68,117,69,26.71,25.37
63,115,71,26.71,25.41
62,113,69,26.71,25.37
61,112,67,26.71,25.41
59,111,67,26.71,25.37
60,108,68,26.71,25.41
61,108,67,26.71,25.37
60,109,66,26.71,25.41
61,110,69,26.71,25.37
59,111,70,26.71,25.41
63,111,74,26.71,25.37
65,111,77,26.71,25.41
65,113,72,26.71,25.37
67,114,73,26.71,25.41
64,111,77,26.71,25.37
63,113,78,26.71,25.41
66,110,76,26.71,25.37
63,111,75,26.71,25.41
62,109,72,26.71,25.37
61,108,70,26.71,25.41
58,109,69,26.71,25.37
59,109,69,26.71,25.41
57,109,70,26.71,25.37
54,111,70,26.71,25.41
56,109,68,26.71,25.37
54,108,70,26.71,25.41
53,109,71,26.71,25.37
57,108,69,26.71,25.41
63,106,66,26.71,25.37
63,108,69,26.71,25.41
63,109,70,26.71,25.37
62,110,71,26.71,25.41
64,110,73,26.71,25.37
66,110,71,26.71,25.41
68,109,71,26.71,25.37
73,107,71,26.71,25.41
72,108,67,26.71,25.37
67,110,69,26.71,25.41
59,110,73,26.71,25.37
58,108,74,26.71,25.41
62,105,72,26.71,25.37
57,106,71,26.71,25.41
55,107,65,26.71,25.37
52,106,61,26.71,25.41
51,107,61,26.71,25.37
47,105,61,26.71,25.41
47,105,59,26.71,25.37
47,104,61,26.71,25.41
44,105,61,26.71,25.37
42,106,61,26.71,25.41
40,105,60,26.71,25.37
38,104,63,26.71,25.41
34,104,64,26.71,25.37
36,104,62,26.71,25.41
35,105,67,26.71,25.37
33,109,69,26.71,25.41
35,110,69,26.71,25.37
39,109,70,26.71,25.41
41,110,73,26.71,25.37
39,114,75,26.71,25.41
40,117,76,26.71,25.37
43,120,80,26.71,25.41
41,126,84,26.71,25.37
44,127,86,26.71,25.41
46,125,90,26.71,25.37
49,125,93,26.71,25.41
49,127,90,26.71,25.37
47,129,85,26.71,25.41
46,129,83,26.71,25.37
47,129,82,26.71,25.41
48,127,84,26.71,25.37
49,125,82,26.71,25.41
47,124,81,26.71,25.37
47,123,79,26.71,25.41
